ID,Hall,Room,Type,Sqft,College,Region,Elevator,Bathroom,AC,Floor,FilePath,Wawa,UStore,Nassau Street,Jadwin Gym,Frist,Street,EQuad,Dillon,RoomID
22,1976,D106,QUAD,538,Butler College,BUTLER,NO,NONE,NO,1,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/1976_HALL/level_01.png,7,8,9,11,5,9,13,7,1976D106
23,1976,D108,QUAD,522,Butler College,BUTLER,NO,NONE,NO,1,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/1976_HALL/level_01.png,7,8,9,11,5,9,13,7,1976D108
24,1976,D109,QUAD,522,Butler College,BUTLER,NO,NONE,NO,1,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/1976_HALL/level_01.png,7,8,9,11,5,9,13,7,1976D109
25,1976,D110,QUAD,522,Butler College,BUTLER,NO,NONE,NO,1,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/1976_HALL/level_01.png,7,8,9,11,5,9,13,7,1976D110
26,1976,D112,QUAD,571,Butler College,BUTLER,NO,NONE,NO,1,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/1976_HALL/level_01.png,7,8,9,11,5,9,13,7,1976D112
27,1976,D114,SINGLE,202,Butler College,BUTLER,NO,NONE,NO,1,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/1976_HALL/level_01.png,7,8,9,11,5,9,13,7,1976D114
28,1976,D115,QUAD,522,Butler College,BUTLER,NO,NONE,NO,1,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/1976_HALL/level_01.png,7,8,9,11,5,9,13,7,1976D115
29,1976,D204,SINGLE,219,Butler College,BUTLER,NO,NONE,NO,2,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/1976_HALL/level_02.png,7,8,9,11,5,9,13,7,1976D204
30,1976,D206,QUAD,522,Butler College,BUTLER,NO,NONE,NO,2,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/1976_HALL/level_02.png,7,8,9,11,5,9,13,7,1976D206
31,1976,D208,QUAD,522,Butler College,BUTLER,NO,NONE,NO,2,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/1976_HALL/level_02.png,7,8,9,11,5,9,13,7,1976D208
32,1976,D209,QUAD,522,Butler College,BUTLER,NO,NONE,NO,2,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/1976_HALL/level_02.png,7,8,9,11,5,9,13,7,1976D209
33,1976,D210,QUAD,580,Butler College,BUTLER,NO,NONE,NO,2,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/1976_HALL/level_02.png,7,8,9,11,5,9,13,7,1976D210
34,1976,D212,QUAD,571,Butler College,BUTLER,NO,NONE,NO,2,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/1976_HALL/level_02.png,7,8,9,11,5,9,13,7,1976D212
35,1976,D214,SINGLE,139,Butler College,BUTLER,NO,NONE,NO,2,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/1976_HALL/level_02.png,7,8,9,11,5,9,13,7,1976D214
36,1976,D215,QUAD,522,Butler College,BUTLER,NO,NONE,NO,2,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/1976_HALL/level_02.png,7,8,9,11,5,9,13,7,1976D215
37,1976,D216,SINGLE,140,Butler College,BUTLER,NO,NONE,NO,2,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/1976_HALL/level_02.png,7,8,9,11,5,9,13,7,1976D216
38,1976,D304,SINGLE,219,Butler College,BUTLER,NO,NONE,NO,3,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/1976_HALL/level_03.png,7,8,9,11,5,9,13,7,1976D304
39,1976,D306,QUAD,564,Butler College,BUTLER,NO,NONE,NO,3,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/1976_HALL/level_03.png,7,8,9,11,5,9,13,7,1976D306
